ledger_id,created_at_utc,match_id,card_json,final_decision,ledger_required,reason,risk_flags,data_gaps,no_betting_commitment
ledger-w1-gs-r1-11,2026-06-10T05:55:00Z,w1-gs-r1-11,data/processed/match_cards/group_stage_round1/w1-gs-r1-11.json,W1_WAIT,true,confirmed_lineup missing; initialized as W1_WAIT from OpenClaw first-round snapshot,CONFIRMED_LINEUP_MISSING|REFEREE_WAIT_EVENT|SUSPENSIONS_PARTIAL|TRAVEL_DISTANCE_PARTIAL|NO_FIXTURE_DETAIL_IN_PROMPT,lineups.confirmed_lineup|match.referee|match.fixture_detail,true
ledger-w1-gs-r1-12,2026-06-10T05:55:00Z,w1-gs-r1-12,data/processed/match_cards/group_stage_round1/w1-gs-r1-12.json,W1_WAIT,true,confirmed_lineup missing; initialized as W1_WAIT from OpenClaw first-round snapshot,CONFIRMED_LINEUP_MISSING|REFEREE_WAIT_EVENT|SUSPENSIONS_PARTIAL|TRAVEL_DISTANCE_PARTIAL|NO_FIXTURE_DETAIL_IN_PROMPT,lineups.confirmed_lineup|match.referee|match.fixture_detail,true
ledger-w1-gs-r1-13,2026-06-10T05:55:00Z,w1-gs-r1-13,data/processed/match_cards/group_stage_round1/w1-gs-r1-13.json,W1_WAIT,true,confirmed_lineup missing; initialized as W1_WAIT from OpenClaw first-round snapshot,CONFIRMED_LINEUP_MISSING|REFEREE_WAIT_EVENT|SUSPENSIONS_PARTIAL|TRAVEL_DISTANCE_PARTIAL|NO_FIXTURE_DETAIL_IN_PROMPT,lineups.confirmed_lineup|match.referee|match.fixture_detail,true
ledger-w1-gs-r1-14,2026-06-10T05:55:00Z,w1-gs-r1-14,data/processed/match_cards/group_stage_round1/w1-gs-r1-14.json,W1_WAIT,true,confirmed_lineup missing; initialized as W1_WAIT from OpenClaw first-round snapshot,CONFIRMED_LINEUP_MISSING|REFEREE_WAIT_EVENT|SUSPENSIONS_PARTIAL|TRAVEL_DISTANCE_PARTIAL|NO_FIXTURE_DETAIL_IN_PROMPT,lineups.confirmed_lineup|match.referee|match.fixture_detail,true
ledger-w1-gs-r1-15,2026-06-10T05:55:00Z,w1-gs-r1-15,data/processed/match_cards/group_stage_round1/w1-gs-r1-15.json,W1_WAIT,true,confirmed_lineup missing; initialized as W1_WAIT from OpenClaw first-round snapshot,CONFIRMED_LINEUP_MISSING|REFEREE_WAIT_EVENT|SUSPENSIONS_PARTIAL|TRAVEL_DISTANCE_PARTIAL|NO_FIXTURE_DETAIL_IN_PROMPT,lineups.confirmed_lineup|match.referee|match.fixture_detail,true
ledger-w1-gs-r1-16,2026-06-10T05:55:00Z,w1-gs-r1-16,data/processed/match_cards/group_stage_round1/w1-gs-r1-16.json,W1_WAIT,true,confirmed_lineup missing; initialized as W1_WAIT from OpenClaw first-round snapshot,CONFIRMED_LINEUP_MISSING|REFEREE_WAIT_EVENT|SUSPENSIONS_PARTIAL|TRAVEL_DISTANCE_PARTIAL|NO_FIXTURE_DETAIL_IN_PROMPT,lineups.confirmed_lineup|match.referee|match.fixture_detail,true
ledger-w1-gs-r1-17,2026-06-10T05:55:00Z,w1-gs-r1-17,data/processed/match_cards/group_stage_round1/w1-gs-r1-17.json,W1_WAIT,true,confirmed_lineup missing; initialized as W1_WAIT from OpenClaw first-round snapshot,CONFIRMED_LINEUP_MISSING|REFEREE_WAIT_EVENT|SUSPENSIONS_PARTIAL|TRAVEL_DISTANCE_PARTIAL|NO_FIXTURE_DETAIL_IN_PROMPT,lineups.confirmed_lineup|match.referee|match.fixture_detail,true
ledger-w1-gs-r1-18,2026-06-10T05:55:00Z,w1-gs-r1-18,data/processed/match_cards/group_stage_round1/w1-gs-r1-18.json,W1_WAIT,true,confirmed_lineup missing; initialized as W1_WAIT from OpenClaw first-round snapshot,CONFIRMED_LINEUP_MISSING|REFEREE_WAIT_EVENT|SUSPENSIONS_PARTIAL|TRAVEL_DISTANCE_PARTIAL|NO_FIXTURE_DETAIL_IN_PROMPT,lineups.confirmed_lineup|match.referee|match.fixture_detail,true
ledger-w1-gs-r1-19,2026-06-10T05:55:00Z,w1-gs-r1-19,data/processed/match_cards/group_stage_round1/w1-gs-r1-19.json,W1_WAIT,true,confirmed_lineup missing; initialized as W1_WAIT from OpenClaw first-round snapshot,CONFIRMED_LINEUP_MISSING|REFEREE_WAIT_EVENT|SUSPENSIONS_PARTIAL|TRAVEL_DISTANCE_PARTIAL|NO_FIXTURE_DETAIL_IN_PROMPT,lineups.confirmed_lineup|match.referee|match.fixture_detail,true
ledger-w1-gs-r1-20,2026-06-10T05:55:00Z,w1-gs-r1-20,data/processed/match_cards/group_stage_round1/w1-gs-r1-20.json,W1_WAIT,true,confirmed_lineup missing; initialized as W1_WAIT from OpenClaw first-round snapshot,CONFIRMED_LINEUP_MISSING|REFEREE_WAIT_EVENT|SUSPENSIONS_PARTIAL|TRAVEL_DISTANCE_PARTIAL|NO_FIXTURE_DETAIL_IN_PROMPT,lineups.confirmed_lineup|match.referee|match.fixture_detail,true
ledger-w1-gs-r1-21,2026-06-10T05:55:00Z,w1-gs-r1-21,data/processed/match_cards/group_stage_round1/w1-gs-r1-21.json,W1_WAIT,true,confirmed_lineup missing; initialized as W1_WAIT from OpenClaw first-round snapshot,CONFIRMED_LINEUP_MISSING|REFEREE_WAIT_EVENT|SUSPENSIONS_PARTIAL|TRAVEL_DISTANCE_PARTIAL|NO_FIXTURE_DETAIL_IN_PROMPT,lineups.confirmed_lineup|match.referee|match.fixture_detail,true
ledger-w1-gs-r1-22,2026-06-10T05:55:00Z,w1-gs-r1-22,data/processed/match_cards/group_stage_round1/w1-gs-r1-22.json,W1_WAIT,true,confirmed_lineup missing; initialized as W1_WAIT from OpenClaw first-round snapshot,CONFIRMED_LINEUP_MISSING|REFEREE_WAIT_EVENT|SUSPENSIONS_PARTIAL|TRAVEL_DISTANCE_PARTIAL|NO_FIXTURE_DETAIL_IN_PROMPT,lineups.confirmed_lineup|match.referee|match.fixture_detail,true
ledger-w1-gs-r1-23,2026-06-10T05:55:00Z,w1-gs-r1-23,data/processed/match_cards/group_stage_round1/w1-gs-r1-23.json,W1_WAIT,true,confirmed_lineup missing; initialized as W1_WAIT from OpenClaw first-round snapshot,CONFIRMED_LINEUP_MISSING|REFEREE_WAIT_EVENT|SUSPENSIONS_PARTIAL|TRAVEL_DISTANCE_PARTIAL|NO_FIXTURE_DETAIL_IN_PROMPT,lineups.confirmed_lineup|match.referee|match.fixture_detail,true
ledger-w1-gs-r1-24,2026-06-10T05:55:00Z,w1-gs-r1-24,data/processed/match_cards/group_stage_round1/w1-gs-r1-24.json,W1_WAIT,true,confirmed_lineup missing; initialized as W1_WAIT from OpenClaw first-round snapshot,CONFIRMED_LINEUP_MISSING|REFEREE_WAIT_EVENT|SUSPENSIONS_PARTIAL|TRAVEL_DISTANCE_PARTIAL|NO_FIXTURE_DETAIL_IN_PROMPT,lineups.confirmed_lineup|match.referee|match.fixture_detail,true
